platform,category,represented_sors,category_share,sparse_flag,automated_detection_numerator,automated_detection_rate,fully_automated_decision_numerator,fully_automated_decision_rate,any_automated_decision_numerator,decision_with_any_automation_rate
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,47973134,0.5171955,False,47710406,0.99452343,0,0.0,47710406,0.99452343
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,31018501,0.33440861,False,28061599,0.90467296,0,0.0,28061599,0.90467296
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,8463282,0.09124214,False,8448377,0.99823886,0,0.0,8448377,0.99823886
Instagram,STATEMENT_CATEGORY_VIOLENCE,1788909,0.01928612,False,1635286,0.91412475,0,0.0,1635286,0.91412475
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,1359964,0.01466169,False,1191719,0.87628717,0,0.0,1191719,0.87628717
Instagram,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,657406,0.00708745,False,575142,0.87486576,0,0.0,575142,0.87486576
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,618295,0.0066658,False,431004,0.69708472,0,0.0,431004,0.69708472
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,349957,0.00377287,False,160872,0.45969076,0,0.0,160872,0.45969076
Instagram,STATEMENT_CATEGORY_SELF_HARM,197089,0.0021248,False,148894,0.7554658,0,0.0,148894,0.7554658
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,177629,0.00191501,False,143657,0.80874745,0,0.0,143657,0.80874745
Instagram,STATEMENT_CATEGORY_CYBER_VIOLENCE,142313,0.00153427,False,94072,0.66102183,0,0.0,94072,0.66102183
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,9808,0.00010574,True,9787,0.99785889,0,0.0,9787,0.99785889
Instagram,STATEMENT_CATEGORY_CONSUMER_INFORMATION,0,0.0,True,0,,0,,0,
Instagram,STATEMENT_CATEGORY_ANIMAL_WELFARE,0,0.0,True,0,,0,,0,
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,0,0.0,True,0,,0,,0,
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,0,0.0,True,0,,0,,0,
TikTok,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,359970117,0.74910724,False,351622580,0.97681047,337795969,0.93840003,337798141,0.93840606
TikTok,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,73417484,0.15278371,False,71279572,0.97088007,66507395,0.90587952,66507434,0.90588005
TikTok,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,14679391,0.0305482,False,14544148,0.99078688,14347987,0.97742386,14347987,0.97742386
TikTok,STATEMENT_CATEGORY_VIOLENCE,11611606,0.02416406,False,11241793,0.96815143,10710881,0.9224289,10710895,0.92243011
TikTok,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,10121069,0.02106221,False,9254238,0.91435381,8596498,0.8493666,8596864,0.84940277
TikTok,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,6667794,0.01387585,False,5875713,0.88120794,2815661,0.42227774,2816227,0.42236263
TikTok,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,2143309,0.00446028,False,2068114,0.9649164,2062094,0.96210766,2062094,0.96210766
TikTok,STATEMENT_CATEGORY_SELF_HARM,894159,0.00186077,False,803562,0.89867909,589685,0.65948562,589685,0.65948562
TikTok,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,627729,0.00130632,False,273288,0.43535984,440196,0.70125165,440557,0.70182674
TikTok,STATEMENT_CATEGORY_ANIMAL_WELFARE,380454,0.00079173,True,364396,0.95779253,318939,0.8383116,318939,0.8383116
TikTok,STATEMENT_CATEGORY_CYBER_VIOLENCE,10664,2.219e-05,True,10,0.00093773,0,0.0,0,0.0
TikTok,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,5153,1.072e-05,True,282,0.0547254,271,0.05259072,271,0.05259072
TikTok,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,2532,5.27e-06,True,10,0.00394945,0,0.0,0,0.0
TikTok,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,555,1.15e-06,True,496,0.89369369,279,0.5027027,279,0.5027027
TikTok,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,137,2.9e-07,True,137,1.0,1,0.00729927,1,0.00729927
TikTok,STATEMENT_CATEGORY_CONSUMER_INFORMATION,0,0.0,True,0,,0,,0,
YouTube,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,40807157,0.46174187,False,40476014,0.99188517,35491761,0.86974354,38270573,0.93783973
YouTube,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,32688662,0.36987933,False,32664357,0.99925647,59208,0.00181127,80117,0.00245091
YouTube,STATEMENT_CATEGORY_CONSUMER_INFORMATION,6853913,0.07755352,False,6693424,0.97658432,3631228,0.52980363,3631228,0.52980363
YouTube,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,5369201,0.06075368,False,5281735,0.98370968,4744644,0.88367785,4984248,0.92830349
YouTube,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,1181064,0.013364,False,1177505,0.99698662,73853,0.0625309,73853,0.0625309
YouTube,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,892667,0.01010072,False,892608,0.99993391,159,0.00017812,892451,0.99975803
YouTube,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,398842,0.00451298,False,56667,0.14207882,387,0.00097031,265643,0.66603567
YouTube,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,93724,0.00106051,False,64090,0.68381631,0,0.0,64044,0.68332551
YouTube,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,49113,0.00055572,True,47677,0.97076131,25,0.00050903,47148,0.95999023
YouTube,STATEMENT_CATEGORY_VIOLENCE,38898,0.00044014,True,37827,0.97246645,8013,0.20600031,8013,0.20600031
YouTube,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,2295,2.597e-05,True,115,0.05010893,0,0.0,0,0.0
YouTube,STATEMENT_CATEGORY_CYBER_VIOLENCE,747,8.45e-06,True,0,0.0,0,0.0,0,0.0
YouTube,STATEMENT_CATEGORY_ANIMAL_WELFARE,275,3.11e-06,True,87,0.31636364,8,0.02909091,8,0.02909091
YouTube,STATEMENT_CATEGORY_SELF_HARM,0,0.0,True,0,,0,,0,
YouTube,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,0,0.0,True,0,,0,,0,
YouTube,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,0,0.0,True,0,,0,,0,
