month,platform,category,represented_sors,automated_detection_numerator,automated_detection_rate,fully_automated_decision_numerator,fully_automated_decision_rate,any_automated_decision_numerator,decision_with_any_automation_rate
2025-07,TikTok,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,17930749,17548554,0.97868494,16218281,0.90449546,16218429,0.90450371
2025-07,TikTok,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,440568,433327,0.9835644,380145,0.86285205,380158,0.86288155
2025-07,TikTok,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,11647731,11542883,0.99099842,11457664,0.98368206,11457665,0.98368214
2025-07,TikTok,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,1281752,1278081,0.99713595,1264360,0.98643107,1264360,0.98643107
2025-07,TikTok,STATEMENT_CATEGORY_VIOLENCE,802367,780627,0.97290517,729883,0.90966229,729883,0.90966229
2025-07,TikTok,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,160482,159133,0.99159407,158035,0.98475218,158035,0.98475218
2025-07,TikTok,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,695200,671484,0.96588608,326588,0.4697756,326757,0.4700187
2025-07,TikTok,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,126,36,0.28571429,34,0.26984127,34,0.26984127
2025-07,TikTok,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,28209,19725,0.69924492,21031,0.7455422,21038,0.74579035
2025-07,TikTok,STATEMENT_CATEGORY_SELF_HARM,50168,47079,0.93842689,22564,0.44976878,22564,0.44976878
2025-07,TikTok,STATEMENT_CATEGORY_ANIMAL_WELFARE,42749,41956,0.98144986,36306,0.84928302,36306,0.84928302
2025-07,TikTok,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,89,0,0.0,0,0.0,0,0.0
2025-07,TikTok,STATEMENT_CATEGORY_CYBER_VIOLENCE,691,0,0.0,0,0.0,0,0.0
2025-07,TikTok,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,555,496,0.89369369,279,0.5027027,279,0.5027027
2025-07,TikTok,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,137,137,1.0,1,0.00729927,1,0.00729927
2025-07,YouTube,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,5525148,5495516,0.99463689,3941131,0.71330777,4014353,0.72656027
2025-07,YouTube,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,1058186,1057293,0.9991561,5295,0.00500385,6066,0.00573245
2025-07,YouTube,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,5463,5286,0.96760022,5,0.00091525,5265,0.96375618
2025-07,YouTube,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,3198,3171,0.99155722,2873,0.89837398,2873,0.89837398
2025-07,YouTube,STATEMENT_CATEGORY_VIOLENCE,7109,6961,0.97918132,387,0.05443804,387,0.05443804
2025-07,YouTube,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,6981,4540,0.65033663,0,0.0,4525,0.64818794
2025-07,YouTube,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,96398,96396,0.99997925,0,0.0,96396,0.99997925
2025-07,YouTube,STATEMENT_CATEGORY_CONSUMER_INFORMATION,247030,226747,0.91789256,113764,0.46052706,113764,0.46052706
2025-07,YouTube,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,740036,728457,0.98435346,527987,0.71346124,706005,0.9540144
2025-07,YouTube,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,30132,2037,0.06760255,165,0.00547591,24620,0.81707155
2025-07,YouTube,STATEMENT_CATEGORY_ANIMAL_WELFARE,10,6,0.6,0,0.0,0,0.0
2025-07,YouTube,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,257,15,0.05836576,0,0.0,0,0.0
2025-07,Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,2241589,1992105,0.88870217,0,0.0,1992105,0.88870217
2025-07,Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,3392154,3357155,0.98968237,0,0.0,3357155,0.98968237
2025-07,Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,162233,120317,0.74163086,0,0.0,120317,0.74163086
2025-07,Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,1,0,0.0,0,0.0,0,0.0
2025-07,Instagram,STATEMENT_CATEGORY_VIOLENCE,152609,135256,0.88629111,0,0.0,135256,0.88629111
2025-07,Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,1034907,1033654,0.99878926,0,0.0,1033654,0.99878926
2025-07,Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,96656,76847,0.7950567,0,0.0,76847,0.7950567
2025-07,Instagram,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,105218,96378,0.91598396,0,0.0,96378,0.91598396
2025-07,Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,28502,12179,0.42730335,0,0.0,12179,0.42730335
2025-07,Instagram,STATEMENT_CATEGORY_SELF_HARM,22446,17495,0.77942618,0,0.0,17495,0.77942618
2025-07,Instagram,STATEMENT_CATEGORY_CYBER_VIOLENCE,14983,10033,0.66962558,0,0.0,10033,0.66962558
2025-08,TikTok,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,32066459,31406015,0.9794039,29425943,0.91765489,29426160,0.91766166
2025-08,TikTok,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,720048,699705,0.97174772,614722,0.85372364,614742,0.85375142
2025-08,TikTok,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,10342009,10163787,0.98276718,10039494,0.97074891,10039494,0.97074891
2025-08,TikTok,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,2321042,2312266,0.99621894,2288338,0.98590978,2288338,0.98590978
2025-08,TikTok,STATEMENT_CATEGORY_VIOLENCE,1374019,1340589,0.97566991,1269359,0.92382929,1269359,0.92382929
2025-08,TikTok,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,343372,338563,0.98599478,337471,0.98281456,337471,0.98281456
2025-08,TikTok,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,1135996,1053359,0.92725591,591299,0.52051152,591448,0.52064268
