month,platform,represented_sors,automated_detection_numerator,automated_detection_rate,fully_automated_decision_numerator,fully_automated_decision_rate,any_automated_decision_numerator,decision_with_any_automation_rate
2025-07,TikTok,33081573,32523518,0.98313094,30615171,0.92544484,30615509,0.92545506
2025-07,YouTube,7719948,7626425,0.98788554,4591607,0.59477175,4974254,0.64433776
2025-07,Instagram,7251298,6851419,0.94485415,0,0.0,6851419,0.94485415
2025-08,TikTok,48490818,47453839,0.97861494,44684772,0.92150997,44685161,0.92151799
2025-08,YouTube,6806546,6704883,0.98506394,3257421,0.4785718,3670183,0.53921372
2025-08,Instagram,9736733,9254936,0.95051759,0,0.0,9254936,0.95051759
2025-09,TikTok,5367152,5251994,0.97854393,4986434,0.92906517,4986468,0.92907151
2025-09,YouTube,9483004,9375350,0.98864769,3792337,0.39990883,4119270,0.43438451
2025-09,Instagram,8378692,8000891,0.95490931,0,0.0,8000891,0.95490931
2025-10,TikTok,43302182,42260945,0.97595417,39822546,0.91964294,39822779,0.91964832
2025-10,YouTube,8733660,8640832,0.98937124,4518405,0.51735527,4886504,0.55950243
2025-10,Instagram,10388056,9992055,0.9618792,0,0.0,9992055,0.9618792
2025-11,TikTok,18497228,17975535,0.97179615,17539343,0.94821467,17539396,0.94821754
2025-11,YouTube,12177127,12096329,0.99336477,3720238,0.30551032,4028820,0.33085144
2025-11,Instagram,9176298,8903056,0.97022307,0,0.0,8903056,0.97022307
2025-12,TikTok,20513138,19484548,0.94985701,18434421,0.89866411,18434652,0.89867538
2025-12,YouTube,6955618,6881108,0.9892878,3273554,0.47063453,3667061,0.52720851
2025-12,Instagram,8243162,7828053,0.94964202,0,0.0,7828053,0.94964202
2026-01,TikTok,120568406,116439797,0.96575712,111178939,0.92212332,111181179,0.9221419
2026-01,YouTube,7028058,6915100,0.98392757,3184358,0.45309216,3649131,0.51922323
2026-01,Instagram,8002044,7632906,0.95386954,0,0.0,7632906,0.95386954
2026-02,TikTok,72150742,70332327,0.974797,66167451,0.91707236,66167451,0.91707236
2026-02,YouTube,4086150,3998496,0.97854851,2454672,0.60072978,2762166,0.67598253
2026-02,Instagram,7738056,7435592,0.96091215,0,0.0,7435592,0.96091215
2026-03,TikTok,41172435,39891815,0.96889618,38148584,0.92655642,38148584,0.92655642
2026-03,YouTube,5905997,5825481,0.98636708,3241732,0.54888819,3581496,0.60641683
2026-03,Instagram,8371350,8025703,0.95871072,0,0.0,8025703,0.95871072
2026-04,TikTok,39661448,38766982,0.97744747,37259008,0.93942632,37259008,0.93942632
2026-04,YouTube,11732650,11660069,0.99381376,7335345,0.62520786,7974460,0.67968106
2026-04,Instagram,7350594,6971414,0.94841505,0,0.0,6971414,0.94841505
2026-05,TikTok,37727031,36947039,0.97932538,35349187,0.93697241,35349187,0.93697241
2026-05,YouTube,7747800,7668033,0.98970456,4639617,0.59883025,5003981,0.64585831
2026-05,Instagram,8120004,7714790,0.95009682,0,0.0,7714790,0.95009682
