platform,category,represented_sors,platform_total_sors,category_share,sparse_flag
Instagram,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,47973134,92756287,0.5171955,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,31018501,92756287,0.33440861,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,8463282,92756287,0.09124214,False
Instagram,STATEMENT_CATEGORY_VIOLENCE,1788909,92756287,0.01928612,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,1359964,92756287,0.01466169,False
Instagram,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,657406,92756287,0.00708745,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,618295,92756287,0.0066658,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,349957,92756287,0.00377287,False
Instagram,STATEMENT_CATEGORY_SELF_HARM,197089,92756287,0.0021248,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,177629,92756287,0.00191501,False
Instagram,STATEMENT_CATEGORY_CYBER_VIOLENCE,142313,92756287,0.00153427,False
Instagram,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,9808,92756287,0.00010574,True
Instagram,STATEMENT_CATEGORY_CONSUMER_INFORMATION,0,92756287,0.0,True
Instagram,STATEMENT_CATEGORY_ANIMAL_WELFARE,0,92756287,0.0,True
Instagram,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,0,92756287,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,0,92756287,0.0,True
TikTok,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,359970117,480532153,0.74910724,False
TikTok,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,73417484,480532153,0.15278371,False
TikTok,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,14679391,480532153,0.0305482,False
TikTok,STATEMENT_CATEGORY_VIOLENCE,11611606,480532153,0.02416406,False
TikTok,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,10121069,480532153,0.02106221,False
TikTok,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,6667794,480532153,0.01387585,False
TikTok,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,2143309,480532153,0.00446028,False
TikTok,STATEMENT_CATEGORY_SELF_HARM,894159,480532153,0.00186077,False
TikTok,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,627729,480532153,0.00130632,False
TikTok,STATEMENT_CATEGORY_ANIMAL_WELFARE,380454,480532153,0.00079173,True
TikTok,STATEMENT_CATEGORY_CYBER_VIOLENCE,10664,480532153,2.219e-05,True
TikTok,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,5153,480532153,1.072e-05,True
TikTok,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,2532,480532153,5.27e-06,True
TikTok,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,555,480532153,1.15e-06,True
TikTok,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,137,480532153,2.9e-07,True
TikTok,STATEMENT_CATEGORY_CONSUMER_INFORMATION,0,480532153,0.0,True
YouTube,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,40807157,88376558,0.46174187,False
YouTube,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,32688662,88376558,0.36987933,False
YouTube,STATEMENT_CATEGORY_CONSUMER_INFORMATION,6853913,88376558,0.07755352,False
YouTube,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,5369201,88376558,0.06075368,False
YouTube,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,1181064,88376558,0.013364,False
YouTube,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,892667,88376558,0.01010072,False
YouTube,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,398842,88376558,0.00451298,False
YouTube,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,93724,88376558,0.00106051,False
YouTube,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,49113,88376558,0.00055572,True
YouTube,STATEMENT_CATEGORY_VIOLENCE,38898,88376558,0.00044014,True
YouTube,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,2295,88376558,2.597e-05,True
YouTube,STATEMENT_CATEGORY_CYBER_VIOLENCE,747,88376558,8.45e-06,True
YouTube,STATEMENT_CATEGORY_ANIMAL_WELFARE,275,88376558,3.11e-06,True
YouTube,STATEMENT_CATEGORY_SELF_HARM,0,88376558,0.0,True
YouTube,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,0,88376558,0.0,True
YouTube,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,0,88376558,0.0,True
