platform,action,represented_sors,action_numerator,action_prevalence
Instagram,ACCOUNT_TERMINATED,92756287,82062141,0.88470705
Instagram,CONTENT_REMOVED,92756287,7293475,0.07863052
Instagram,CONTENT_DEMOTED,92756287,3396796,0.03662066
Instagram,CONTENT_DISABLED,92756287,2874,3.098e-05
Instagram,ACCOUNT_SUSPENDED,92756287,653,7.04e-06
Instagram,MONETARY_SUSPENSION,92756287,348,3.75e-06
Instagram,VISIBILITY_OTHER,92756287,0,0.0
Instagram,CONTENT_AGE_RESTRICTED,92756287,0,0.0
Instagram,CONTENT_INTERACTION_RESTRICTED,92756287,0,0.0
Instagram,CONTENT_LABELLED,92756287,0,0.0
Instagram,PROVISION_PARTIAL_SUSPENSION,92756287,0,0.0
Instagram,PROVISION_PARTIAL_TERMINATION,92756287,0,0.0
Instagram,PROVISION_TOTAL_SUSPENSION,92756287,0,0.0
Instagram,PROVISION_TOTAL_TERMINATION,92756287,0,0.0
Instagram,MONETARY_TERMINATION,92756287,0,0.0
TikTok,VISIBILITY_OTHER,480532153,252603089,0.52567365
TikTok,CONTENT_REMOVED,480532153,215104597,0.4476383
TikTok,PROVISION_PARTIAL_SUSPENSION,480532153,6367562,0.01325106
TikTok,ACCOUNT_TERMINATED,480532153,3394132,0.00706328
TikTok,CONTENT_AGE_RESTRICTED,480532153,2798006,0.00582272
TikTok,CONTENT_DISABLED,480532153,478023,0.00099478
TikTok,CONTENT_DEMOTED,480532153,16585,3.451e-05
TikTok,ACCOUNT_SUSPENDED,480532153,86,1.8e-07
TikTok,CONTENT_INTERACTION_RESTRICTED,480532153,0,0.0
TikTok,CONTENT_LABELLED,480532153,0,0.0
TikTok,PROVISION_PARTIAL_TERMINATION,480532153,0,0.0
TikTok,PROVISION_TOTAL_SUSPENSION,480532153,0,0.0
TikTok,PROVISION_TOTAL_TERMINATION,480532153,0,0.0
TikTok,MONETARY_TERMINATION,480532153,0,0.0
TikTok,MONETARY_SUSPENSION,480532153,0,0.0
YouTube,CONTENT_REMOVED,88376558,80483494,0.91068826
YouTube,CONTENT_DISABLED,88376558,5736894,0.0649142
YouTube,CONTENT_AGE_RESTRICTED,88376558,1529694,0.01730882
YouTube,PROVISION_PARTIAL_TERMINATION,88376558,626476,0.00708871
YouTube,PROVISION_TOTAL_TERMINATION,88376558,466772,0.00528163
YouTube,MONETARY_TERMINATION,88376558,339418,0.00384059
YouTube,VISIBILITY_OTHER,88376558,0,0.0
YouTube,CONTENT_DEMOTED,88376558,0,0.0
YouTube,CONTENT_INTERACTION_RESTRICTED,88376558,0,0.0
YouTube,CONTENT_LABELLED,88376558,0,0.0
YouTube,ACCOUNT_TERMINATED,88376558,0,0.0
YouTube,ACCOUNT_SUSPENDED,88376558,0,0.0
YouTube,PROVISION_PARTIAL_SUSPENSION,88376558,0,0.0
YouTube,PROVISION_TOTAL_SUSPENSION,88376558,0,0.0
YouTube,MONETARY_SUSPENSION,88376558,0,0.0
